Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,140.149000,0.000000,0.000000,0,0.000000,44.666667,dns
0.000000,123.232000,0.000000,0.000000,0,0.000000,150.333333,dns
0.000000,0.955000,0.000000,0.000000,0,0.000000,162.333333,dns
0.000000,0.203000,0.000000,0.000000,0,0.000000,191.666667,dns
0.000000,93.776000,0.000000,0.000000,0,0.000000,123.333333,dns
0.000000,2.146000,0.000000,0.000000,0,0.000000,144.000000,dns
0.000000,0.234000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,6.831000,0.000000,0.000000,0,0.000000,161.000000,dns
0.000000,0.167000,0.000000,0.000000,0,0.000000,137.333333,dns
0.000000,3314.363000,0.000000,0.000000,0,0.000000,186.000000,dns
0.000000,3.476000,0.000000,0.000000,0,0.000000,138.333333,dns
0.000000,0.838000,0.000000,0.000000,0,0.000000,149.000000,dns
0.000000,0.069236,44.585204,37.709000,0,0.000000,103.750000,dns
0.000000,6.451000,0.000000,0.000000,0,0.000000,139.666667,dns
0.000000,0.259000,0.000000,0.000000,0,0.000000,74.333333,dns
0.000000,8.663000,0.000000,0.000000,0,0.000000,199.666667,dns
0.000000,0.000340,0.000000,0.000000,0,0.000000,134.666667,dns
0.000000,137.766000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,0.222000,0.000000,0.000000,0,0.000000,196.333333,dns
0.000000,0.258000,0.000000,0.000000,0,0.000000,226.666667,dns
0.000000,26.625000,0.000000,0.000000,0,0.000000,153.666667,dns
0.000000,3.263000,0.000000,0.000000,0,0.000000,169.000000,dns
0.000000,0.147000,0.000000,0.000000,0,0.000000,121.333333,dns
0.000000,0.278000,0.000000,0.000000,0,0.000000,140.333333,dns
0.000000,0.032000,0.000000,0.000000,0,0.000000,58.666667,dns
0.000000,0.000280,0.000000,0.000000,0,0.000000,198.666667,dns
0.000000,0.002160,0.000000,0.000000,0,0.000000,199.333333,dns
0.000000,0.341000,0.000000,0.000000,0,0.000000,125.000000,dns
0.000000,0.299000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,0.287000,0.000000,0.000000,0,0.000000,130.000000,dns
0.000000,25.037000,0.000000,0.000000,0,0.000000,187.333333,dns
0.000000,79.909000,0.000000,0.000000,0,0.000000,84.666667,dns
0.000000,35.216000,0.000000,0.000000,0,0.000000,119.000000,dns
0.000000,0.236000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,77.181000,0.000000,0.000000,0,0.000000,122.000000,dns
0.000000,8.367000,0.000000,0.000000,0,0.000000,198.000000,dns
0.000000,164.346000,0.000000,0.000000,0,0.000000,156.333333,dns
0.000000,0.234000,0.000000,0.000000,0,0.000000,130.000000,dns
